No,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,1,2.7kHz,BUZZER2,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,2.7kHz,MLT-8530,Huaneng,C94599,LCSC
2,4,10uF,"C1,C2,C6,C18",C0402,10uF,CL05A106MQ5NUNC,Samsung,C15525,LCSC
3,3,1uF,"C3,C4,C5",C0402,1uF,CL05A105KA5NQNC,Samsung,C52923,LCSC
4,8,100nF,"C7,C8,C9,C10,C11,C12,C13,C17",C0402,100nF,CL05B104KO5NNNC,Samsung,C1525,LCSC
5,1,1N4148WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,,1N4148WS,CJ,C2128,LCSC
6,1,HDR-M_2.54_1x5P,H1,HDR-TH_5P-P2.54-V-M,,,,,
7,1,ME6211C33M5G-N,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,ME6211C33M5G-N,Micron Electronics,C82942,LCSC
8,6,WS2812B-B/T,"LED2,LED5,LED6,LED8,LED10,LED12",LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,,WS2812B-B/T,Worldsemi,C2761795,LCSC
9,1,KT-0603R,LED4,LED-SMD_L1.6-W0.8-R-RD,,KT-0603R,Kento,C2286,LCSC
10,1,SS8050(RANGE:200-350),Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,SS8050(RANGE:200-350),CJ,C2150,LCSC
11,1,2kOhm,R1,R0402,2kOhm,0402WGF2001TCE,Uni-Royal,C4109,LCSC
12,2,5.1kOhm,"R2,R4",R0402,5.1kOhm,0402WGF5101TCE,Uni-Royal,C25905,LCSC
13,2,1kOhm,"R3,R6",R0402,1kOhm,0402WGF1001TCE,Uni-Royal,C11702,LCSC
14,1,10kOhm,R5,R0402,10kOhm,0402WGF1002TCE,Uni-Royal,C25744,LCSC
15,1,330Ohm,R7,R0402,330Ohm,0402WGF3300TCE,Uni-Royal,C25104,LCSC
16,2,4.7kOhm,"R8,R9",R0402,4.7kOhm,0402WGF4701TCE,Uni-Royal,C25900,LCSC
17,2,100kOhm,"R10,R12",R0603,100kOhm,0603WAF1003T5E,Uni-Royal,C25803,LCSC
18,3,TS-1187A-B-A-B,"SW1,SW2,SW3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,,TS-1187A-B-A-B,XKB Connection,C318884,LCSC
19,1,2.4GHz,U1,WIRELM-SMD_ESP32-S3-WROOM-1,2.4GHz,ESP32-S3-WROOM-1-N16R8,Espressif,C2913202,LCSC
20,1,TP4056-42-ESOP8,U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,TP4056-42-ESOP8,TopPower,C16581,LCSC
21,1,S2B-PH-K-S(LF)(SN),U3,CONN-TH_S2B-PH-K-S-LF-SN,,S2B-PH-K-S(LF)(SN),JST,C173752,LCSC
22,1,LIS3DHTR,U5,LGA-16_L3.0-W3.0-P0.50-TL,,LIS3DHTR,STMicroelectronics,C15134,LCSC
23,1,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,Korea Hanrong,C165948,LCSC
